epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2325,0.88998,1.46392,1.31444,0.02637,0.21667,0.0898,0.04636,2.1143,4.98907,2.04458,0,0,0
2,29.1667,0.91275,1.66888,1.31627,0.06053,0.31667,0.12188,0.05656,2.03883,4.70558,1.99685,1.16644e-06,1.16644e-06,1.16644e-06
3,39.2767,0.858,1.78626,1.40482,0.07347,0.56667,0.13634,0.06803,1.97058,4.40633,1.93856,2.28575e-06,2.28575e-06,2.28575e-06
4,49.6696,1.18013,1.49402,1.8848,0.06516,0.56667,0.13878,0.07768,1.91594,4.20566,1.89284,3.35794e-06,3.35794e-06,3.35794e-06
5,59.8999,1.07743,1.99479,1.58188,0.11021,0.36667,0.2527,0.14852,1.87298,4.01556,1.82841,4.38301e-06,4.38301e-06,4.38301e-06
6,70.0029,0.93129,1.74353,1.26457,0.13782,0.36667,0.26398,0.20499,1.85679,3.72469,1.79866,5.36095e-06,5.36095e-06,5.36095e-06
7,80.0474,0.9855,1.44322,1.32789,0.60346,0.26497,0.27679,0.20319,1.84204,3.45729,1.75668,6.29177e-06,6.29177e-06,6.29177e-06
8,90.1405,0.64552,1.20555,1.08777,0.72082,0.25,0.28264,0.208,1.84916,3.29078,1.76327,7.17546e-06,7.17546e-06,7.17546e-06
9,100.425,0.94006,2.39069,1.30888,0.59343,0.34843,0.34292,0.21753,1.85063,3.10817,1.7653,8.01203e-06,8.01203e-06,8.01203e-06
10,110.523,0.94093,1.27081,1.19884,0.77492,0.25,0.3434,0.22346,1.7541,2.91643,1.63705,8.80148e-06,8.80148e-06,8.80148e-06
11,122.792,0.96518,1.85766,1.21741,0.78102,0.25,0.36649,0.23095,1.62324,2.77406,1.54426,9.5438e-06,9.5438e-06,9.5438e-06
12,132.995,0.76927,1.24269,1.22423,0.65686,0.36157,0.40692,0.26484,1.57141,2.67795,1.52065,1.0239e-05,1.0239e-05,1.0239e-05
13,142.997,0.74271,0.89965,1.18095,0.70783,0.36481,0.44301,0.29865,1.56684,2.56671,1.48815,1.08871e-05,1.08871e-05,1.08871e-05
14,153.196,0.92027,1.13994,1.30142,0.78299,0.3523,0.50936,0.33251,1.60659,2.46516,1.49798,1.1488e-05,1.1488e-05,1.1488e-05
15,163.231,0.98913,1.06253,1.41729,0.75759,0.35487,0.5252,0.35303,1.63508,2.37151,1.49428,1.20418e-05,1.20418e-05,1.20418e-05
16,173.193,0.92525,0.98602,1.49848,0.75662,0.35718,0.55102,0.37622,1.66404,2.28403,1.5048,1.25486e-05,1.25486e-05,1.25486e-05
17,183.232,0.94695,1.18513,1.43357,0.74226,0.37122,0.57192,0.39932,1.6317,2.17137,1.49081,1.30081e-05,1.30081e-05,1.30081e-05
18,193.395,0.92266,1.18637,1.24215,0.74226,0.37122,0.57192,0.39932,1.6317,2.17137,1.49081,1.34206e-05,1.34206e-05,1.34206e-05
